id,cliente_id,suscripcion_activa,plataforma,pagos,created_at,updated_at,user_id
1797c60c-37fc-4b15-a47d-13f2e3d2ba4b,8621f1e8-0131-4594-9e37-4fde5519d618,true,Stripe,{},2025-04-16 19:08:24.817163+00,2025-04-16 19:08:24.554+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
28530d8a-8ec0-4859-8b0c-4e3694595b20,8621f1e8-0131-4594-9e37-4fde5519d618,false,,,2025-04-16 19:01:32.724661+00,2025-04-16 19:06:40.273821+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
3fcba06e-137b-4ceb-97a3-77acbe6e1b5b,8621f1e8-0131-4594-9e37-4fde5519d618,true,MercadoPago,{},2025-04-16 19:11:39.912135+00,2025-04-16 19:11:39.572+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
4345a7f2-4877-40bd-9413-de759bab458e,8621f1e8-0131-4594-9e37-4fde5519d618,false,,{},2025-04-16 19:08:23.233478+00,2025-04-16 19:08:22.971+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
4f1f19ec-500a-4686-bfc3-acd669a90e36,8621f1e8-0131-4594-9e37-4fde5519d618,true,,{},2025-04-16 19:04:41.29609+00,2025-04-16 19:04:40.759+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
60844bc6-3b2e-49c8-b738-d4e717587215,8621f1e8-0131-4594-9e37-4fde5519d618,false,,,2025-04-16 19:01:34.241572+00,2025-04-16 19:06:40.273821+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
92da0e15-1956-42b2-aae1-fe1089d6c19f,8621f1e8-0131-4594-9e37-4fde5519d618,true,,{},2025-04-16 19:01:13.453248+00,2025-04-16 19:01:13.177+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
9660e556-d64a-499c-be8e-057ddaf8e8fb,8621f1e8-0131-4594-9e37-4fde5519d618,false,MercadoPago,{},2025-04-16 19:06:52.833977+00,2025-04-16 19:06:52.558+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
afd797e2-477e-4796-8984-ed73c3d16c1c,8621f1e8-0131-4594-9e37-4fde5519d618,false,,,2025-04-16 19:01:37.105231+00,2025-04-16 19:06:40.273821+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
bae8d7a7-a012-4355-a5a1-3f4bf16049bf,8621f1e8-0131-4594-9e37-4fde5519d618,true,,{},2025-04-16 19:01:06.876638+00,2025-04-16 19:01:06.534+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
cd79dd47-8e91-4145-8f41-c3dfb185d2c6,8621f1e8-0131-4594-9e37-4fde5519d618,false,MercadoPago,{},2025-04-16 19:01:19.241711+00,2025-04-16 19:01:18.963+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
cfab992b-52cf-4a28-9f05-0928d8e4a53f,8621f1e8-0131-4594-9e37-4fde5519d618,false,,,2025-04-16 19:01:32.724424+00,2025-04-16 19:06:40.273821+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
e589dcb0-57c5-459a-a2f0-8bfe6293718c,8621f1e8-0131-4594-9e37-4fde5519d618,false,MercadoPago,{},2025-04-16 19:01:11.638096+00,2025-04-16 19:01:11.341+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd
ec25f5f6-c1cc-4f81-95ac-0967f7299855,8621f1e8-0131-4594-9e37-4fde5519d618,true,MercadoPago,{},2025-04-16 19:08:08.110141+00,2025-04-16 19:08:07.826+00,76e56b4c-0f2d-4c23-97ea-e8c35e4ae0cd